Physical-Disability,Release year
The Lord of the Rings: The Fellowship of the Ring,2001.0
Harry Potter and the Prisoner of Azkaban,2004.0
Harry Potter and the Chamber of Secrets,2002.0
Harry Potter and the Goblet of Fire,2005.0
Harry Potter and the Order of the Phoenix,2007.0
The Hobbit: The Battle of the Five Armies,2014.0
The Lord of the Rings: The Return of the King,2003.0
Harry Potter and the Half-Blood Prince,2009.0
The Lord of the Rings: The Two Towers,2002.0
Fantastic Beasts: The Secrets of Dumbledore,2022.0
The Hobbit: An Unexpected Journey,2012.0
The Hobbit: The Desolation of Smaug,2013.0
Snow White and the Seven Dwarfs,1937.0
Fantastic Beasts and Where to Find Them,2016.0
Fantastic Beasts: The Crimes of Grindelwald,2018.0
The Chronicles of Narnia: Prince Caspian,2008.0
Harry Potter 20th Anniversary: Return to Hogwarts,2022.0
Willow,1988.0
The Lord of the Rings,1978.0
Mirror Mirror,2012.0
Time Bandits,1981.0
Avatar,2009.0
Me Before You,2016.0
Cult of Chucky,2017.0
Gattaca,1997.0
Upgrade,2018.0
Million Dollar Baby,2004.0
Curse of Chucky,2013.0
Bitter Moon,1992.0
The Theory of Everything,2014.0
The Sessions,2012.0
The Upside,2019.0
Silver Bullet,1985.0
The Bone Collector,1999.0
Born on the Fourth of July,1989.0
Breathe,2017.0
Shut In,2016.0
Amityville: The Awakening,2017.0
The Magic of Belle Isle,2012.0
Steel,1997.0
The People vs. Larry Flynt,1996.0
Godzilla x Kong: The New Empire,2024.0
Godzilla vs. Kong,2021.0
A Quiet Place,2018.0
Eternals,2021.0
A Quiet Place Part II,2021.0
CODA,2021.0
There Will Be Blood,2007.0
Boy Kills World,2024.0
Sound of Metal,2020.0
"See No Evil, Hear No Evil",1989.0
Feel the Beat,2020.0
Hush,2016.0
We Die Young,2019.0
Wonderstruck,2017.0
Mr. Holland's Opus,1995.0
The Lobster,2015.0
Daredevil,2003.0
Don't Breathe 2,2021.0
The Matrix Revolutions,2003.0
Slumdog Millionaire,2008.0
Don't Breathe,2016.0
The Fault in Our Stars,2014.0
The Book of Eli,2010.0
Riddick,2013.0
Elektra,2005.0
Scent of a Woman,1992.0
The Village,2004.0
Young Frankenstein,1974.0
City Lights,1931.0
The Eye,2008.0
Quest for Camelot,1998.0
Dancer in the Dark,2000.0
Ray,2004.0
Blind Fury,1989.0
Sirens,1994.0
Places in the Heart,1984.0
Pitch Black,2000.0
All I See Is You,2017.0
Blindness,2008.0
The Creator,2023.0
Mad Max: Fury Road,2015.0
Forrest Gump,1994.0
RoboCop,1987.0
Logan Lucky,2017.0
How to Train Your Dragon 2,2014.0
Skyscraper,2018.0
How to Train Your Dragon: The Hidden World,2019.0
Downsizing,2017.0
How to Train Your Dragon,2010.0
Peter Pan,1953.0
Dr. No,1962.0
Treasure Planet,2002.0
Peter Pan & Wendy,2023.0
RoboCop,2014.0
Chip 'n Dale: Rescue Rangers,2022.0
127 Hours,2010.0
Hook,1991.0
The Fugitive,1993.0
RoboCop 3,1993.0
In the Heart of the Sea,2015.0
Army of Darkness,1992.0
Peter Pan,2003.0
Planet Terror,2007.0
Return to Never Land,2002.0
Kingpin,1996.0
RoboCop 2,1990.0
Men of Honor,2000.0
Wild Wild West,1999.0
Pan,2015.0
Soul Surfer,2011.0
Come Away,2020.0
Stronger,2017.0
Finding Neverland,2004.0
The Beguiled,2017.0
The Bad Batch,2017.0
Dolphin Tale 2,2014.0
The Beguiled,1971.0
Boxing Helena,1993.0
