Black,Release year
The Marvels,2023
The American Society of Magical Negroes,2024
Transformers: Rise of the Beasts,2023
Spider-Man: Across the Spider-Verse,2023
Coach Carter,2005
Spider-Man: Into the Spider-Verse,2018
Black Panther,2018
Pulp Fiction,1994
Creed III,2023
Black Panther: Wakanda Forever,2022
Green Book,2018
Creed II,2018
White Chicks,2004
The Princess and the Frog,2009
Blade,1998
Django Unchained,2012
Get Out,2017
Friday,1995
The Karate Kid,2010
Soul,2020
American Fiction,2023
Bad Boys for Life,2020
American Gangster,2007
Hidden Figures,2016
Men in Black,1997
Creed,2015
Scary Movie,2000
The Help,2011
Uncut Gems,2019
White Boy Rick,2018
A Haunted House 2,2014
Coming to America,1988
Scary Movie 2,2001
American History X,1998
Space Jam: A New Legacy,2021
Gone with the Wind,1939
The Blind Side,2009
Bad Boys,1995
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
Emancipation,2022
Crooklyn,1994
Little Man,2006
The Pursuit of Happyness,2006
Good Burger 2,2023
Bright,2017
The Mask of Zorro,1998
Annie,2014
Boyz n the Hood,1991
Norbit,2007
The Color Purple,2023
Bad Boys II,2003
21 Bridges,2019
Mea Culpa,2024
Fruitvale Station,2013
Straight Outta Compton,2015
12 Years a Slave,2013
Training Day,2001
Hancock,2008
Me Time,2022
Coming 2 America,2021
Shirley,2024
8 Mile,2002
Shot Caller,2017
Detroit,2017
Blade: Trinity,2004
The Warriors,1979
Spies in Disguise,2019
Brick Mansions,2014
The Wedding Ringer,2015
Radio,2003
King Richard,2021
Blade II,2002
The Substitute,1996
Beverly Hills Cop III,1994
Undisputed,2002
Live and Let Die,1973
War Room,2015
Something the Lord Made,2004
Uncle Drew,2018
A Haunted House,2013
BlacKkKlansman,2018
S.W.A.T.,2003
Missing,2023
Day Shift,2022
Rustin,2023
Nutty Professor II: The Klumps,2000
Blazing Saddles,1974
Taxi,2004
The Blackening,2023
Blue Streak,1999
Jackie Brown,1997
"Big Mommas: Like Father, Like Son",2011
Snitch,2013
Big Momma's House 2,2006
Freedom Writers,2007
End of Watch,2012
Candyman,1992
Us,2019
Song of the South,1946
Overcomer,2019
Remember the Titans,2000
Fifty Shades of Black,2016
Romeo Must Die,2000
The Hate U Give,2018
Catwoman,2004
Big Momma's House,2000
The Tax Collector,2020
The Secret Life of Bees,2008
Men of Honor,2000
Kangaroo Jack,2003
Paranormal Activity: The Marked Ones,2014
Life,1999
How High,2001
Red Tails,2012
Four Brothers,2005
Peppermint,2018
Candyman,2021
Dr. Dolittle 2,2001
The Haunted Mansion,2003
The Many Saints of Newark,2021
Acrimony,2018
Next Friday,2000
Ride Along 2,2016
Fatherhood,2021
Kicks,2016
Big George Foreman,2023
Spenser Confidential,2020
Glory,1989
Just Mercy,2019
Nothing to Lose,1997
The Nutty Professor,1996
Good Burger,1997
The Banker,2020
Concussion,2015
Wild Wild West,1999
Shaft,2000
Ghost Dog: The Way of the Samurai,1999
They Cloned Tyrone,2023
The Color Purple,1985
Girls Trip,2017
Ride Along,2014
Cradle 2 the Grave,2003
Moonwalker,1988
Do the Right Thing,1989
Antebellum,2020
Menace II Society,1993
Barbershop,2002
Malcolm X,1992
Addicted,2014
Little,2019
The Intruder,2019
Hairspray,2007
Get Rich or Die Tryin',2005
Are We There Yet?,2005
In the Heat of the Night,1967
Shaft,1971
Friday After Next,2002
Poetic Justice,1993
Black Snake Moan,2006
Mississippi Burning,1988
No Good Deed,2014
Gridiron Gang,2006
The Last Dragon,1985
White Men Can't Jump,1992
Lincoln,2012
Are We Done Yet?,2007
Shaft,2019
White Men Can't Jump,2023
Drumline,2002
Body Cam,2020
Gallowwalkers,2012
Whitney Houston: I Wanna Dance with Somebody,2022
Dangerous Minds,1995
Destroyer,2018
Havoc,2005
House Party,2023
Death at a Funeral,2010
Jungle Fever,1991
Ray,2004
When the Bough Breaks,2016
Deep Cover,1992
Leprechaun: Back 2 tha Hood,2003
Night of the Living Dead,1990
Respect,2021
The United States vs. Billie Holiday,2021
Soul Plane,2004
Juice,1992
Loving,2016
Barbershop: The Next Cut,2016
Black and Blue,2019
Harriet,2019
Proud Mary,2018
Hardball,2001
Malibu's Most Wanted,2003
Ali G Indahouse,2002
Snow Dogs,2002
Vampire in Brooklyn,1995
Fences,2016
The Butler,2013
The Wanderers,1979
"Lock, Stock and Two Smoking Barrels",1998
Colors,1988
Ma,2019
You People,2023
Dolemite Is My Name,2019
Johnson Family Vacation,2004
Attack the Block,2011
The Perfect Find,2023
City of Lies,2018
Race,2016
The Soloist,2009
Obsessed,2009
Waves,2019
Harlem Nights,1989
Welcome Home Roscoe Jenkins,2008
Dance Flick,2009
Trespass,1992
The Great Debaters,2007
Above the Rim,1994
The Perfect Guy,2015
The Hurricane,1999
Hustle & Flow,2005
One Way,2022
Imagine That,2009
Madea Goes to Jail,2009
Till,2022
He Got Game,1998
Mudbound,2017
About Last Night,2014
Nobody's Fool,2018
The Single Moms Club,2014
Stomp the Yard,2007
Baby Boy,2001
All Eyez on Me,2017
Stir Crazy,1980
Leprechaun in the Hood,2000
Wendell & Wild,2022
Boys on the Side,1995
Sorry to Bother You,2018
Waiting to Exhale,1995
Hoodlum,1997
The Adventures of Pluto Nash,2002
The Cotton Club,1984
Steel,1997
Just Wright,2010
Think Like a Man Too,2014
Precious,2009
