Other-Non-Christian,Release year
Bohemian Rhapsody,2018
Pirates of the Caribbean: On Stranger Tides,2011
Pirates of the Caribbean: At World's End,2007
Pirates of the Caribbean: Dead Man's Chest,2006
The Princess and the Frog,2009
Angel Heart,1987
Bride of Chucky,1998
Cult of Chucky,2017
Seed of Chucky,2004
Child's Play 3,1991
Child's Play,1988
Live and Let Die,1973
Curse of Chucky,2013
Child's Play 2,1990
Scooby-Doo on Zombie Island,1998
Spell,2020
The Witches of Eastwick,1987
The Serpent and the Rainbow,1988
Jessabelle,2014
Hereditary,2018
The First Omen,2024
The Omen,1976
The Passion of the Christ,2004
The Conjuring,2013
The Conjuring: The Devil Made Me Do It,2021
The Omen,2006
Annabelle: Creation,2017
Late Night with the Devil,2024
Ready or Not,2019
Hocus Pocus 2,2022
Constantine,2005
Immaculate,2024
"South Park: Bigger, Longer & Uncut",1999
The Devil's Advocate,1997
Ghost Rider,2007
The Exorcism of God,2022
Omen IV: The Awakening,1991
Ghost Rider: Spirit of Vengeance,2011
Jennifer's Body,2009
The Unholy,2021
Hocus Pocus,1993
The Final Conflict,1981
Annabelle,2014
The Babysitter,2017
Fresh,2022
The Exorcism of Emily Rose,2005
Drive Angry,2011
Bedazzled,2000
Sleepy Hollow,1999
All Hallows' Eve,2013
Fantasia,1940
The Last Temptation of Christ,1988
Little Nicky,2000
This Is the End,2013
Grave Encounters 2,2012
Rosemary's Baby,1968
End of Days,1999
The Babysitter: Killer Queen,2020
Justice League vs. Teen Titans,2016
Tenacious D in The Pick of Destiny,2006
Prince of Darkness,1987
Children of the Corn,1984
Bill & Ted's Bogus Journey,1991
The Young Messiah,2016
The Imaginarium of Doctor Parnassus,2009
Dante's Inferno: An Animated Epic,2010
Evilspeak,1981
The Lords of Salem,2013
Devil's Due,2014
The Zone of Interest,2023
One Life,2023
Indiana Jones and the Dial of Destiny,2023
Exodus: Gods and Kings,2014
Back to Black,2024
It,2017
The Ten Commandments,1956
Schindler's List,1993
Inglourious Basterds,2009
It Chapter Two,2019
Call Me by Your Name,2017
Drive,2011
Colonia,2015
The Boy in the Striped Pyjamas,2008
The Fabelmans,2022
Three Thousand Years of Longing,2022
Uncut Gems,2019
American History X,1998
The Prince of Egypt,1998
Joseph: King of Dreams,2000
The Pianist,2002
Once Upon a Time in America,1984
Beau Is Afraid,2023
Noah,2014
Redeeming Love,2022
The Reader,2008
Jojo Rabbit,2019
"New York, I Love You",2008
You Don't Mess with the Zohan,2008
The Fault in Our Stars,2014
The Book of Daniel,2013
You Are So Not Invited to My Bat Mitzvah,2023
Borat Subsequent Moviefilm,2020
BlacKkKlansman,2018
Annie Hall,1977
Little Fockers,2010
L.A. Confidential,1997
Operation Finale,2018
Son of God,2014
Ooops! Noah Is Gone...,2015
The Reaping,2007
The Day the Earth Stood Still,2008
The Unborn,2009
The Cobbler,2014
Defiance,2008
This Is Where I Leave You,2014
The French Connection,1971
Samson,2018
An American Tail,1986
Fantasia 2000,1999
Driving Miss Daisy,1989
The Book Thief,2013
A Serious Man,2009
East of Eden,1955
The Great Gatsby,1974
The Man with the Iron Heart,2017
The Book of Esther,2013
Woman in Gold,2015
The Zookeeper's Wife,2017
Fiddler on the Roof,1971
Deconstructing Harry,1997
Barton Fink,1991
Chariots of Fire,1981
Pi,1998
The Boys from Brazil,1978
Armageddon Time,2022
The Merchant of Venice,2004
The Night Before,2015
The Believer,2001
The Red Sea Diving Resort,2019
Bugsy,1991
Apt Pupil,1998
Three Identical Strangers,2018
The Secrets We Keep,2020
Shine,1996
Hoodlum,1997
The Cotton Club,1984
Remember,2015
Gandhi,1982
Iron Man,2008
Guy Ritchie's The Covenant,2023
Kingdom of Heaven,2005
Aladdin,2019
Rambo III,1988
Clash of the Titans,2010
War Dogs,2016
True Lies,1994
12 Strong,2018
The Living Daylights,1987
Body of Lies,2008
London Has Fallen,2016
Lone Survivor,2013
The Old Guard,2020
Zero Dark Thirty,2012
Eagle Eye,2008
The Return of Jafar,1994
25th Hour,2002
War Machine,2017
Jack Ryan: Shadow Recruit,2014
Vice,2018
The Day of the Jackal,1973
Whiskey Tango Foxtrot,2016
Dear John,2010
Malcolm X,1992
Executive Decision,1996
The Siege,1998
Hotel Mumbai,2019
The Kingdom,2007
The Kite Runner,2007
The 7th Voyage of Sinbad,1958
All the Old Knives,2022
The Kill Team,2019
The Message,1976
United 93,2006
Postal,2007
Remember Me,2010
Lions for Lambs,2007
Charlie Wilson's War,2007
Wishmaster: The Prophecy Fulfilled,2002
Hyena Road,2015
Lion of the Desert,1981
Enter the Dragon,1973
The Monkey King,2023
Seven Years in Tibet,1997
The Golden Child,1986
Little Buddha,1993
Midsommar,2019
The Craft,1996
The Craft: Legacy,2020
The Wicker Man,1973
The Wicker Man,2006
The Master,2012
Book of Shadows: Blair Witch 2,2000
